sec,nsec,x,y,z,roll,pitch,yaw
31,841354592,1940.334,92.710,1421.731,357.369,342.823,187.993
32,36800385,1940.282,92.751,1421.377,357.817,336.523,189.672
32,145232694,1940.235,92.801,1421.189,357.133,335.386,190.585
32,244275601,1940.197,92.871,1421.015,357.494,334.791,191.103
32,447872387,1940.153,93.053,1420.687,359.219,331.866,191.124
32,644891349,1940.091,93.204,1420.351,358.473,331.376,190.119
32,845119738,1940.042,93.342,1419.996,358.075,332.726,187.946
33,46893908,1940.020,93.527,1419.649,358.296,333.642,184.478
33,241094804,1940.005,93.676,1419.311,357.464,333.758,181.986
33,343673376,1940.014,93.754,1419.139,357.941,334.063,180.491
33,540611992,1940.075,93.925,1418.820,0.262,333.457,177.374
33,642882352,1940.113,94.009,1418.664,0.933,332.749,175.762
33,743288940,1940.149,94.087,1418.499,0.997,332.529,174.300
33,841762684,1940.190,94.172,1418.333,1.455,332.546,172.710
33,945506354,1940.237,94.255,1418.169,2.340,332.198,171.625
34,140399032,1940.337,94.417,1417.838,4.528,332.299,169.335
34,340977054,1940.434,94.587,1417.524,5.108,331.335,166.646
34,540078596,1940.560,94.767,1417.232,6.538,331.175,163.462
34,647489815,1940.641,94.865,1417.072,7.459,331.114,161.340
34,745450795,1940.721,94.941,1416.923,7.895,330.358,159.788
34,847563171,1940.799,95.020,1416.770,8.200,329.815,157.875
34,961670153,1940.893,95.122,1416.607,8.755,329.604,155.669
35,162056954,1941.072,95.295,1416.353,9.610,328.798,152.785
35,262079548,1941.170,95.383,1416.213,10.026,328.058,151.086
35,361899739,1941.269,95.468,1416.082,10.513,327.858,149.765
35,466829144,1941.376,95.560,1415.951,11.068,327.875,148.370
35,662643340,1941.586,95.741,1415.695,11.158,328.004,146.416
35,775717680,1941.705,95.838,1415.558,11.119,328.457,145.016
35,974006566,1941.915,96.019,1415.328,11.145,328.258,142.401
36,177296705,1942.138,96.209,1415.104,12.094,326.762,139.958
36,376388642,1942.384,96.384,1414.871,12.424,326.770,136.805
36,476817186,1942.519,96.468,1414.773,13.070,327.510,135.298
36,674100049,1942.788,96.652,1414.592,12.995,328.210,132.471
36,778134267,1942.930,96.744,1414.494,12.816,328.051,130.901
36,978744363,1943.208,96.907,1414.320,13.951,327.171,128.215
37,78787131,1943.353,96.984,1414.238,14.773,326.493,127.233
37,279095592,1943.644,97.162,1414.087,16.136,326.781,123.969
